"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 10, 2014","420.06","418.55","420.06","418.31","-","0.50%"
"Nov 07, 2014","417.95","417.45","418.77","417.07","-","-0.06%"
"Nov 06, 2014","418.22","418.09","418.42","416.17","-","-0.02%"
"Nov 05, 2014","418.32","416.84","418.32","415.84","-","0.34%"
"Nov 04, 2014","416.89","417.26","418.73","415.40","-","-0.08%"
"Nov 03, 2014","417.22","418.93","419.01","416.82","-","-0.53%"
"Oct 31, 2014","419.45","414.69","419.45","414.69","-","1.09%"
"Oct 30, 2014","414.94","412.73","415.31","411.46","-","0.18%"
"Oct 29, 2014","414.19","413.18","415.64","411.28","-","0.23%"
"Oct 28, 2014","413.24","408.58","413.24","408.51","-","1.11%"
"Oct 27, 2014","408.70","409.25","410.60","406.70","-","-0.13%"
"Oct 24, 2014","409.23","407.40","409.30","406.89","-","0.45%"
"Oct 23, 2014","407.38","404.58","408.49","403.06","-","0.63%"
"Oct 22, 2014","404.82","405.12","407.40","404.59","-","-0.16%"
"Oct 21, 2014","405.45","400.07","405.45","399.38","-","1.38%"
"Oct 20, 2014","399.94","396.71","400.27","396.71","-","0.74%"
"Oct 17, 2014","396.99","392.33","398.29","391.63","-","1.24%"
"Oct 16, 2014","392.13","393.74","394.13","387.49","-","-0.28%"
"Oct 15, 2014","393.24","396.71","397.18","388.51","-","-0.96%"
"Oct 14, 2014","397.06","398.11","399.48","395.50","-","-0.15%"
"Oct 13, 2014","397.66","400.60","402.39","397.66","-","-0.70%"
"Oct 10, 2014","400.45","406.57","406.58","400.36","-","-1.61%"
"Oct 09, 2014","407.02","411.94","413.89","406.57","-","-0.99%"
"Oct 08, 2014","411.10","409.23","412.23","405.96","-","0.52%"
"Oct 07, 2014","408.98","413.79","413.85","408.98","-","-0.97%"
"Oct 06, 2014","413.00","411.46","414.89","411.43","-","0.38%"
"Oct 03, 2014","411.43","409.80","411.84","409.05","-","0.44%"
"Oct 02, 2014","409.62","412.54","412.65","407.18","-","-0.64%"
"Oct 01, 2014","412.26","416.84","416.85","411.81","-","-1.10%"
"Sep 30, 2014","416.85","417.87","418.48","415.96","-","-0.24%"
"Sep 29, 2014","417.86","419.51","419.72","415.98","-","-0.45%"
"Sep 26, 2014","419.75","418.24","420.09","417.48","-","0.23%"
"Sep 25, 2014","418.78","423.74","424.08","418.57","-","-1.17%"
"Sep 24, 2014","423.72","421.77","423.91","420.68","-","0.41%"
"Sep 23, 2014","421.98","424.71","425.00","421.88","-","-0.61%"
"Sep 22, 2014","424.56","428.26","428.32","424.25","-","-0.85%"
"Sep 19, 2014","428.20","429.05","430.08","427.73","-","-0.15%"
"Sep 18, 2014","428.84","426.43","428.88","426.28","-","0.32%"
"Sep 17, 2014","427.49","427.01","428.16","425.95","-","0.23%"
"Sep 16, 2014","426.50","425.38","427.53","424.10","-","0.27%"
"Sep 15, 2014","425.34","426.25","426.25","424.75","-","-0.19%"
"Sep 12, 2014","426.17","427.95","428.08","425.64","-","-0.46%"
"Sep 11, 2014","428.16","428.40","428.53","426.51","-","0.00%"
"Sep 10, 2014","428.16","428.12","428.32","426.50","-","0.00%"
"Sep 09, 2014","428.14","430.12","430.29","427.51","-","-0.64%"
"Sep 08, 2014","430.91","432.18","432.24","429.51","-","-0.34%"
"Sep 05, 2014","432.37","431.53","432.38","430.26","-","0.06%"
"Sep 04, 2014","432.09","432.96","434.10","431.16","-","-0.18%"
"Sep 03, 2014","432.86","431.27","434.07","431.26","-","0.39%"
"Sep 02, 2014","431.18","431.53","431.96","430.27","-","-0.09%"
"Sep 01, 2014","431.59","431.21","431.80","431.19","-","0.01%"
"Aug 29, 2014","431.55","430.54","431.54","429.88","-","0.23%"
"Aug 28, 2014","430.56","432.18","432.44","429.81","-","-0.39%"
"Aug 27, 2014","432.25","431.49","432.40","431.49","-","0.14%"
"Aug 26, 2014","431.65","430.48","432.18","430.42","-","0.23%"
"Aug 25, 2014","430.68","428.36","431.04","428.19","-","0.50%"
"Aug 22, 2014","428.55","429.79","430.02","427.79","-","-0.29%"
"Aug 21, 2014","429.80","428.23","429.96","427.75","-","0.28%"
"Aug 20, 2014","428.60","428.34","428.60","427.16","-","0.05%"
"Aug 19, 2014","428.37","426.63","428.37","426.58","-","0.46%"
"Aug 18, 2014","426.40","423.67","426.44","423.54","-","0.71%"
"Aug 15, 2014","423.41","423.52","425.66","421.88","-","-0.05%"
"Aug 14, 2014","423.64","422.10","423.63","421.72","-","0.38%"
"Aug 13, 2014","422.04","419.64","422.26","419.61","-","0.56%"
"Aug 12, 2014","419.70","420.14","420.57","419.11","-","-0.09%"
"Aug 11, 2014","420.06","417.19","421.01","417.13","-","0.75%"
"Aug 08, 2014","416.94","415.50","416.95","413.48","-","0.25%"
"Aug 07, 2014","415.90","418.30","419.12","415.31","-","-0.50%"
"Aug 06, 2014","418.00","419.30","419.31","416.58","-","-0.33%"
"Aug 05, 2014","419.39","422.40","422.47","418.69","-","-0.68%"
"Aug 04, 2014","422.28","420.62","422.75","420.10","-","0.33%"
"Aug 01, 2014","420.91","422.78","422.79","419.72","-","-0.50%"
"Jul 31, 2014","423.04","429.49","429.61","423.02","-","-1.46%"
"Jul 30, 2014","429.29","430.19","430.90","428.35","-","-0.22%"
"Jul 29, 2014","430.24","431.06","432.23","430.14","-","-0.19%"
"Jul 28, 2014","431.07","430.92","431.45","429.30","-","0.00%"
