"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2018","2,125.65","2,116.26","2,126.20","2,115.39","-","0.45%"
"Jan 02, 2018","2,116.04","2,103.31","2,116.64","2,102.70","-","0.60%"
"Jan 01, 2018","2,103.47","2,102.35","2,103.47","2,102.35","-","0.00%"
"Dec 29, 2017","2,103.45","2,107.08","2,112.42","2,102.45","-","-0.16%"
"Dec 28, 2017","2,106.89","2,103.78","2,107.37","2,103.48","-","0.18%"
"Dec 27, 2017","2,103.19","2,099.50","2,105.04","2,099.31","-","0.18%"
"Dec 26, 2017","2,099.31","2,101.23","2,101.41","2,098.36","-","-0.03%"
"Dec 25, 2017","2,099.94","2,100.43","2,101.86","2,099.94","-","0.02%"
"Dec 22, 2017","2,099.59","2,101.63","2,102.27","2,097.54","-","-0.06%"
"Dec 21, 2017","2,100.78","2,094.81","2,104.92","2,092.46","-","0.25%"
"Dec 20, 2017","2,095.44","2,098.05","2,101.88","2,094.05","-","-0.04%"
"Dec 19, 2017","2,096.34","2,102.70","2,104.71","2,096.34","-","-0.37%"
"Dec 18, 2017","2,104.02","2,085.04","2,106.10","2,084.85","-","0.89%"
"Dec 15, 2017","2,085.54","2,078.00","2,087.27","2,075.14","-","0.38%"
"Dec 14, 2017","2,077.55","2,087.85","2,088.44","2,077.55","-","-0.33%"
"Dec 13, 2017","2,084.37","2,083.96","2,092.28","2,083.27","-","0.05%"
"Dec 12, 2017","2,083.43","2,080.08","2,086.37","2,079.91","-","0.11%"
"Dec 11, 2017","2,081.24","2,074.08","2,081.24","2,073.95","-","0.38%"
"Dec 08, 2017","2,073.46","2,062.99","2,074.17","2,062.80","-","0.48%"
"Dec 07, 2017","2,063.58","2,058.34","2,065.74","2,057.58","-","0.26%"
"Dec 06, 2017","2,058.22","2,063.53","2,063.71","2,056.24","-","-0.26%"
"Dec 05, 2017","2,063.64","2,070.88","2,073.22","2,063.24","-","-0.31%"
"Dec 04, 2017","2,069.99","2,070.02","2,083.91","2,066.42","-","0.03%"
"Dec 01, 2017","2,069.37","2,074.68","2,077.71","2,057.24","-","-0.38%"
"Nov 30, 2017","2,077.36","2,065.85","2,079.40","2,064.69","-","0.54%"
"Nov 29, 2017","2,066.22","2,067.20","2,072.89","2,063.89","-","-0.02%"
"Nov 28, 2017","2,066.55","2,054.69","2,067.40","2,052.99","-","0.52%"
"Nov 27, 2017","2,055.77","2,058.86","2,060.88","2,054.42","-","-0.18%"
"Nov 24, 2017","2,059.54","2,053.69","2,060.41","2,052.06","-","0.30%"
"Nov 23, 2017","2,053.28","2,052.40","2,054.67","2,050.42","-","0.16%"
"Nov 22, 2017","2,050.06","2,047.51","2,054.02","2,047.48","-","0.14%"
"Nov 21, 2017","2,047.15","2,034.56","2,048.92","2,034.56","-","0.56%"
"Nov 20, 2017","2,035.73","2,033.42","2,036.64","2,031.36","-","0.13%"
"Nov 17, 2017","2,033.18","2,035.13","2,040.06","2,032.28","-","-0.13%"
"Nov 16, 2017","2,035.81","2,020.92","2,037.08","2,020.90","-","0.73%"
"Nov 15, 2017","2,021.03","2,033.68","2,033.68","2,016.64","-","-0.53%"
"Nov 14, 2017","2,031.88","2,035.17","2,036.47","2,026.11","-","-0.19%"
"Nov 13, 2017","2,035.71","2,038.67","2,038.72","2,029.13","-","-0.22%"
