"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06, 2016","1,012.11","1,014.26","1,014.26","1,004.09","-","-0.39%"
"Jul 05, 2016","1,016.06","1,026.06","1,026.09","1,013.33","-","-1.03%"
"Jul 04, 2016","1,026.60","1,025.35","1,028.20","1,025.11","-","0.08%"
"Jul 01, 2016","1,025.73","1,020.83","1,027.54","1,020.83","-","0.47%"
"Jun 30, 2016","1,020.90","1,009.92","1,020.90","1,007.64","-","1.20%"
"Jun 29, 2016","1,008.81","989.04","1,009.19","988.76","-","2.19%"
"Jun 28, 2016","987.22","970.59","988.42","969.50","-","1.70%"
"Jun 27, 2016","970.71","991.09","992.62","968.04","-","-2.31%"
"Jun 24, 2016","993.63","1,042.95","1,043.11","992.05","-","-4.77%"
"Jun 23, 2016","1,043.36","1,030.58","1,044.32","1,030.46","-","1.37%"
"Jun 22, 2016","1,029.25","1,028.68","1,034.92","1,028.09","-","-0.03%"
"Jun 21, 2016","1,029.55","1,026.52","1,030.59","1,026.14","-","0.25%"
"Jun 20, 2016","1,026.97","1,012.70","1,031.22","1,012.69","-","1.77%"
"Jun 17, 2016","1,009.06","1,007.11","1,011.57","1,006.71","-","0.53%"
"Jun 16, 2016","1,003.71","1,008.89","1,009.24","994.05","-","-0.49%"
"Jun 15, 2016","1,008.64","1,005.45","1,013.38","1,004.74","-","0.27%"
"Jun 14, 2016","1,005.93","1,014.16","1,014.43","1,002.68","-","-0.92%"
"Jun 13, 2016","1,015.32","1,026.03","1,026.03","1,014.66","-","-1.28%"
"Jun 10, 2016","1,028.45","1,042.38","1,042.38","1,025.77","-","-1.44%"
"Jun 09, 2016","1,043.47","1,049.58","1,049.95","1,041.01","-","-0.62%"
"Jun 08, 2016","1,049.95","1,046.36","1,050.78","1,046.21","-","0.37%"
"Jun 07, 2016","1,046.05","1,040.32","1,048.16","1,040.32","-","0.58%"
"Jun 06, 2016","1,039.99","1,034.80","1,041.33","1,033.41","-","0.53%"
"Jun 03, 2016","1,034.52","1,030.57","1,036.72","1,030.08","-","0.35%"
"Jun 02, 2016","1,030.92","1,029.48","1,030.92","1,025.24","-","0.11%"
"Jun 01, 2016","1,029.83","1,030.22","1,030.53","1,024.50","-","-0.06%"
"May 31, 2016","1,030.41","1,031.49","1,034.51","1,027.82","-","-0.06%"
"May 30, 2016","1,031.07","1,029.74","1,031.28","1,029.08","-","0.03%"
"May 27, 2016","1,030.78","1,027.91","1,030.78","1,027.69","-","0.30%"
"May 26, 2016","1,027.73","1,025.98","1,030.08","1,025.98","-","0.20%"
"May 25, 2016","1,025.65","1,015.97","1,027.30","1,015.97","-","0.91%"
"May 24, 2016","1,016.44","1,006.62","1,016.84","1,003.64","-","1.01%"
"May 23, 2016","1,006.24","1,008.13","1,009.36","1,006.24","-","-0.14%"
"May 20, 2016","1,007.68","1,000.44","1,008.99","1,000.01","-","0.77%"
"May 19, 2016","999.98","1,007.28","1,007.60","995.97","-","-0.89%"
"May 18, 2016","1,008.92","1,009.37","1,012.95","1,003.76","-","-0.13%"
"May 17, 2016","1,010.23","1,013.87","1,017.88","1,007.98","-","-0.32%"
"May 16, 2016","1,013.48","1,006.27","1,014.75","1,005.92","-","0.71%"
"May 13, 2016","1,006.34","1,014.24","1,014.31","1,005.70","-","-0.89%"
"May 12, 2016","1,015.33","1,016.81","1,020.89","1,011.20","-","-0.22%"
"May 11, 2016","1,017.60","1,022.67","1,023.52","1,017.49","-","-0.46%"
"May 10, 2016","1,022.27","1,010.97","1,022.27","1,010.48","-","1.11%"
"May 09, 2016","1,011.09","1,011.14","1,014.35","1,009.00","-","-0.09%"
"May 06, 2016","1,011.96","1,011.23","1,011.96","1,006.16","-","0.09%"
"May 05, 2016","1,011.07","1,012.90","1,014.85","1,009.47","-","-0.21%"
"May 04, 2016","1,013.21","1,021.14","1,021.24","1,011.15","-","-0.87%"
"May 03, 2016","1,022.12","1,033.93","1,035.21","1,019.54","-","-1.10%"
"May 02, 2016","1,033.48","1,031.28","1,034.12","1,028.03","-","0.20%"
"Apr 29, 2016","1,031.42","1,036.30","1,037.38","1,027.16","-","-0.37%"
"Apr 28, 2016","1,035.21","1,041.08","1,043.38","1,035.21","-","-0.44%"
"Apr 27, 2016","1,039.81","1,039.23","1,041.06","1,035.46","-","0.06%"
"Apr 26, 2016","1,039.17","1,035.93","1,041.10","1,034.60","-","0.24%"
"Apr 25, 2016","1,036.67","1,039.33","1,039.33","1,033.77","-","-0.26%"
"Apr 22, 2016","1,039.42","1,040.82","1,041.91","1,036.08","-","-0.27%"
"Apr 21, 2016","1,042.22","1,044.05","1,046.70","1,040.59","-","-0.22%"
"Apr 20, 2016","1,044.51","1,044.47","1,046.02","1,041.43","-","0.06%"
"Apr 19, 2016","1,043.90","1,033.67","1,045.25","1,033.63","-","1.03%"
"Apr 18, 2016","1,033.23","1,030.32","1,033.23","1,024.36","-","0.23%"
"Apr 15, 2016","1,030.89","1,030.64","1,031.69","1,029.48","-","-0.05%"
"Apr 14, 2016","1,031.40","1,029.03","1,032.75","1,028.92","-","0.29%"
"Apr 13, 2016","1,028.38","1,016.11","1,028.49","1,016.11","-","1.37%"
"Apr 12, 2016","1,014.47","1,006.51","1,016.59","1,005.87","-","0.72%"
"Apr 11, 2016","1,007.18","1,005.95","1,013.98","1,004.36","-","0.10%"
"Apr 08, 2016","1,006.14","997.29","1,009.53","996.34","-","0.69%"
"Apr 07, 2016","999.27","1,007.00","1,009.32","996.25","-","-0.63%"
"Apr 06, 2016","1,005.65","998.04","1,006.91","996.86","-","0.78%"
"Apr 05, 2016","997.90","1,010.90","1,010.92","996.95","-","-1.36%"
"Apr 04, 2016","1,011.70","1,013.00","1,015.28","1,010.66","-","0.01%"
"Apr 01, 2016","1,011.62","1,016.48","1,016.52","1,002.38","-","-0.56%"
"Mar 31, 2016","1,017.31","1,018.43","1,019.73","1,015.75","-","-0.18%"
"Mar 30, 2016","1,019.17","1,010.92","1,022.24","1,010.69","-","1.15%"
"Mar 29, 2016","1,007.57","1,001.75","1,011.39","997.92","-","0.56%"
"Mar 28, 2016","1,001.96","999.45","1,003.18","998.86","-","0.23%"
"Mar 25, 2016","999.67","999.28","999.87","998.68","-","0.06%"
"Mar 24, 2016","999.10","1,004.55","1,004.55","994.66","-","-0.55%"
"Mar 23, 2016","1,004.61","1,012.68","1,012.92","1,004.36","-","-0.85%"
"Mar 22, 2016","1,013.27","1,012.09","1,014.53","1,008.44","-","0.02%"
"Mar 21, 2016","1,013.03","1,013.13","1,014.28","1,009.84","-","-0.09%"
"Mar 18, 2016","1,013.97","1,011.43","1,014.89","1,009.90","-","0.29%"
"Mar 17, 2016","1,010.99","1,000.19","1,012.88","1,000.19","-","1.57%"
"Mar 16, 2016","995.41","993.10","1,002.01","989.90","-","0.17%"
"Mar 15, 2016","993.68","1,000.01","1,000.01","990.86","-","-0.67%"
"Mar 14, 2016","1,000.35","999.47","1,002.74","997.53","-","0.11%"
"Mar 11, 2016","999.30","982.55","999.30","981.28","-","1.77%"
"Mar 10, 2016","981.96","982.11","990.07","977.40","-","-0.05%"
"Mar 09, 2016","982.44","979.26","983.84","976.69","-","0.25%"
"Mar 08, 2016","980.03","990.45","990.59","978.93","-","-0.96%"
"Mar 07, 2016","989.50","988.98","991.65","983.42","-","0.09%"
"Mar 04, 2016","988.63","981.73","991.40","981.35","-","0.73%"
"Mar 03, 2016","981.50","975.16","982.15","975.10","-","0.77%"
"Mar 02, 2016","974.03","965.23","975.38","965.23","-","0.96%"
"Mar 01, 2016","964.76","948.46","965.48","947.86","-","1.76%"
"Feb 29, 2016","948.04","951.26","954.58","947.94","-","-0.36%"
"Feb 26, 2016","951.49","950.33","956.72","950.07","-","0.13%"
"Feb 25, 2016","950.26","939.75","950.46","939.52","-","1.09%"
"Feb 24, 2016","940.05","943.18","943.18","927.96","-","-0.39%"
"Feb 23, 2016","943.69","953.51","954.78","942.87","-","-1.01%"
"Feb 22, 2016","953.36","942.31","953.83","941.55","-","1.25%"
"Feb 19, 2016","941.56","944.77","944.79","935.60","-","-0.34%"
